question,gt
Which other modeling notation besides activity diagrams does the lecturer say is used to specify system behavior,State machines
What are the two broad categories of UML diagrams mentioned in the lecture,Structural and behavioral
In structural models what do we mainly capture according to the lecture,Static entities and their relationships
What key aspects do behavioral models focus on according to the lecture,Behavior and concurrency over time
Which kind of communication is described as reliable but makes the sender wait synchronous or asynchronous,Synchronous communication
Which kind of communication continues without waiting synchronous or asynchronous,Asynchronous communication
What object is produced and then used when sending an invoice in the example flow,Invoice used by Make Payment
After shipping the order which two activities proceed in parallel in the order process example,Receive order and Bill customer
What does a join bar require before its single outflow can execute,All inflows must arrive
What does a flow final node terminate according to the slides,A single flow
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes composition,Filled black diamond
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes aggregation,Hollow diamond
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes generalization or inheritance,Hollow triangle arrowhead
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes realization of an interface,Dashed line with hollow triangle arrowhead
On the REVIEW OF UML RELATIONSHIPS slide what multiplicity is shown near Engine in the Boat–Engine example,0..1
On the REVIEW OF UML RELATIONSHIPS slide what multiplicity is shown between Library and Books,1..*
On the EVENTS IN UML slide name the two classifications that separate event sources,External and internal
On the EVENTS IN UML slide list the two message based kinds of events,Signals and calls
In the order processing activity diagram what guarded label routes from the first decision to Fill Order,order accepted
In the order processing activity diagram what guarded label skips to the merge on the right,order rejected
In the order processing activity diagram name one action on the upper branch after the fork,Send Invoice
In the order processing activity diagram name the data object passed from Send Invoice to Accept Payment,Invoice
In the Online Shopping mini example what shape represents the initial node,Filled black circle
In the Online Shopping mini example what shape represents the final node,Bullseye with outer ring
In the Authenticate User example where are activity parameters displayed relative to the activity frame,On the border and listed below the name
In the Authenticate User example give one parameter name shown on the border,Login Id
In the decision and merge example what notation shape do both nodes share,Diamond
In the fork and join example what two labels are hand written under the bars,fork and join
In the conditional thread example what guard enables the rightmost branch,frequent flyer member
In the events slide what term is used for an object sent asynchronously between objects,Signal
When time passes what is the UML term for that kind of event,Passage of time
At 175–176s what main slide topic is shown,Software Modeling
At 335–336s what red title appears above the gallery of relationships,REVIEW OF UML RELATIONSHIPS
At 544–547s what red title introduces signals and calls,EVENTS IN UML
At 1153–1233s what is the big slide header defining the diagram type being discussed,UML Activity Diagrams
At 1233–1246s what is the label inside the rounded activity boundary of the example diagram,Process Order
At 1533–1877s which call action name is shown in the left flow before the final node,Confirm Order
At 2388–2516s what is the slide title explaining parallelization bars,FORK AND JOIN NODES
At 2667–2742s which type of final node stops all flows in the activity,Activity final node
At 2998–3016s what is the title inside the activity frame showing the ticket workflow,Resolve Issue
At 3019–3135s what red title appears next to the two hand drawn labels step and activity,ACTIVITY
At 3136–3199s how many swimlanes are shown in the object flow partition example,Three
At 3199–3326s what role name labels the rightmost swimlane,Warehouse
At 3536–3555s what state does the bill object have after payment,paid
At 3794–3796s what slide topic introduces a dashed region around actions,INTERRUPTIBLE ACTIVITY REGION
At 3902–3909s which two interrupts can break the Enter Pin step in the ATM example,Cancel Button and 45sec timeout
What does an activity final node do,Stops all flows in the activity
What does a flow final node do,Terminates a single flow
What do fork and join bars indicate in an activity diagram,Start and synchronization of concurrent threads
What does a merge node do after mutually exclusive branches,Recombines mutually exclusive branches
What UML symbol denotes the start of control flow,Filled black circle
What UML symbol denotes the end of control flow for the whole activity,Bullseye double circle
What shape is used for decision and merge nodes,Diamond
What shape is used for actions,Rounded rectangle
In an activity diagram what encloses parameters and actions for a named activity,A rounded rectangle labeled with the activity name
In the Authenticate User example which two inputs feed the first action,Login Id and Password
In the order process who receives the filled order before paying the bill,Customer
In the order process which action generates the unpaid bill,Bill customer
In the order process which action updates the bill to paid,Pay bill
In the order process which two flows must converge before Close Order,Receive order and Bill paid
In the customer–store signal example which lane receives the Order signal,Online Book Store
In the customer–store signal example what periodic trigger icon fires Every hour,Hourglass
In the ATM example what happens if the user presses the cancel button while entering the PIN,Confirm Cancel
In the ATM example what happens if 45 seconds elapse while entering the PIN,Display Timeout Elapsed
What is the key difference between synchronous and asynchronous communication in the lecture,Synchronous waits for a response while asynchronous does not
What are the two main things the lecturer says we care most about for behavior and concurrency,Capturing behavior and concurrency
What do structural models describe about things according to the lecture,Static structure of things and how they are related
What must be true before the outflow of a join can proceed,All incoming branches must complete
Which four kinds of events are listed on the EVENTS IN UML slide,Signals calls passage of time change in state
Which two categories classify events as external or internal on the EVENTS IN UML slide,External events and internal events
What is the purpose of a partition or swimlane in an activity diagram,To group actions by actor or responsibility
How are object states shown next to an object name in an object node,In square brackets after the object name
Which slide advises to add object flows when a workflow triggers significant object behavior,HOW TO CONSTRUCT ACTIVITY DIAGRAMS
Which step comes immediately after Receive Order in the order process upper branch,Check PIN
Which two activities run in parallel after Fill Order in the order process,Send Invoice and Ship Order
