question,prediction(model's answer),ground_truth(correct answer),Expert_Annotation1,Expert_Annotation 2,Final_Decision
Which lecture number is announced at the start?,18th,18th,1,1,1
Which assignment is due this evening?,A3,A3,1,1,1
If two students work together how many submissions are expected?,1,One,1,1,1
What two queue implementations were covered previously?,Link queue and array-based queue.,Linked and array-based,1,1,1
What is the main focus today regarding queues?,The main focus today is on conceptual discussions and queue-based algorithms.,Queue-based algorithms,1,1,1
What term describes decoupling producer and server speeds via a buffer?,Queue,Asynchronous processing,0,0,0
In the rock concert example what mechanism handles bursts of requests?,Queues handle bursts of requests.,A queue buffer,1,1,1
Why is there a printer queue?,To manage tasks in a sequential order.,The printer is relatively slow,0,0,0
What happens if clients send faster than the server can process?,The queue will grow indefinitely.,The buffer overflows,0,0,0
What CPU time sharing technique is discussed for fairness?,No CPU time sharing technique is discussed.,Round robin,0,0,0
In the round robin diagram which operation takes the front item to the CPU?,Dequeue operation.,dequeue(),1,1,1
In that diagram which operation returns the item to the rear?,enqueue,enqueue(),1,1,1
Where do new processes enter the ready queue in the diagram?,The video does not provide information about process entry in the ready queue.,Rear,0,0,0
What are the two ends of the queue labeled in the diagram?,Front and Rear,front and rear,1,1,1
In the binary sequence algorithm what is initially enqueued?,The question cannot be answered.,The empty string,0,0,0
After dequeuing s what two items are enqueued?,The video descriptions do not provide information about specific enqueue or dequeue operations.,s+0 and s+1,0,0,0
In what order are the generated binary strings listed?,The order of binary strings is not mentioned.,Increasing length,0,0,0
What four letter alphabet is used in the generalized diagram?,nan,L R U D,0,0,0
In the grid diagrams what does the letter D stand for?,Not mentioned,Down,0,0,0
What symbol marks the starting cell in the grid diagrams?,Not mentioned,X,0,0,0
Name one example path label shown under an obstacle grid.,No example path label is shown.,DRRURRDD,0,0,0
In the depth 1 level of the binary tree what two nodes appear?,No nodes are mentioned.,0 and 1,0,0,0
Which rightmost leaf is bracketed in red in the tree diagram?,Not applicable,1111,0,0,0
Which leaf is shown in blue brackets in the tree diagram?,No leaf is shown in blue brackets.,11,0,0,0
What search strategy expands the tree layer by layer as shown?,Breadth-First Search,Breadth-first search,1,1,1
What is the course title shown on the first slide?,ITI 1121,ITI 1121. Introduction to Computing II,1,1,1
Name one contributor credited besides the author.,No contributor is credited besides the author.,G.V. Jourdan,0,0,0
Name another contributor credited.,No other contributor is credited.,M. Turcotte,0,0,0
What version date is printed on the title page?,No visible evidence.,December 26 2021,0,0,0
Which school is credited on the title page?,ITI 1121,School of Electrical Engineering and Computer Science,0,0,0
What note about printing appears on the title page?,No note about printing appears on the title page.,Do not print unless necessary,0,0,0
Name one abstract topic listed on the title page.,Q-Abstract Data Type,Queues-based algorithms,0,0,0
Name another listed abstract topic.,lists,Asynchronous processes,0,0,0
Name a third listed abstract topic.,Q-based algorithms,Simulations,0,0,0
Name a fourth listed abstract topic.,Q-based algorithms,State-space search,0,0,0
In the file manager screenshot which panel item is selected?,Not applicable,My Files,0,0,0
Name one file shown in the list.,A3,CircularQueue,0,0,0
What is the method name shown in the code editor for validity checking?,Not mentioned,checkPath,0,0,0
What parameter type does that method take?,The question is unanswerable.,String,0,0,0
What auxiliary structure is used to track visits in code?,Queue,boolean[][] visited,0,0,0
