question,gt
What topic does the lecturer say they will focus on today regarding behavioral models?,UML state machines
"According to the lecture, what three elements can a state-machine transition have?",trigger guard effect
"In the heater–room example, which two room temperature thresholds are mentioned as guards?",18 and 22 degrees
What does the lecturer call a transition with no trigger that fires when a state’s behavior completes?,completion transition
"When discussing compound states, which event is said to take priority over inner sub-state events?","the outer compound_state event (e.g., disconnect)"
"On the garage door state machine, which event label leads from Opening back to Open?",reachTop
"In the garage door diagram, what event can take Closing to Opening?",buttonOrObstacle
"In the garage door diagram, which state lies directly below Opening?",HalfOpen
"In the “In State Machines” mini-diagram, what is the canonical transition label format shown over the arrow?",Trigger [Guard] / Effect
"In the “SUBJECTS” slide sketch, which two agent boxes are drawn on the right side?",Agent1 and Agent2
"On the “STATES” slide fragment, which example state is shown receiving two incoming “buttonOrObstacle” arrows?",HalfOpen
"On the “COMPLETION TRANSITIONS” diagram, which state has a self-transition labeled after 2 seconds?",Idle
"In the same diagram, which event takes the system from Tracking to Engaging?",contact
"On the “COMPOUND STATES” example, what event moves from Disconnected to Connected?",connect
"Inside the Connected compound state, which event moves Waiting to ProcessingByte?",receiveByte
"In the “COMPOUND STATES EXAMPLE” with Checking PIN, which guard leaves the compound to Searching Network?",[pin OK]
"In that PIN example, which guard loops back from the decision to Entering PIN?",[pin invalid]
"In the “HISTORY STATES” washing machine, what is the order of the three substates inside Running?",Washing Rinsing Spinning
"In the same washing machine diagram, which symbol resumes the last active sub-state after power is restored?",the history state H
"In the alternative exit example, what is the name of the border exit that leads to Writing Error Report?",Failed to Read
What name appears as the speaker on the early black screen label?,Shiva Nejati
What section title is shown at 15–213s introducing the topic?,UML State Machines
What two action labels appear in the activity-diagram example nodes?,Send Payment and Accept Payment
"On the early star map, name one of the two bright stars labeled in Gemini.",Castor or Pollux
Which university logo is visible on many slides?,uOttawa
What course code appears on the slides?,SEG2106
"In the state-actions example state, what are the On Entry and On Exit actions listed for Receiving?",On Entry pickup; On Exit disconnect
What slide title is shown at 298–300s contrasting two diagram types?,ACTIVITY DIAGRAMS VS STATE MACHINES
"Between 540–541s, which three terms appear in the example transition label format?",Trigger Guard Effect
"At 1238–1239s, what timer text and effect are shown on the self-transition into Waiting?",after 2 seconds / poll input
"Around 1411–1414s, which four states form the main flow on the completion-transition example?",Idle Searching Tracking Engaging
"At 1612–1615s, what is the definition of a guard condition given on the slide?",a Boolean expression in square brackets placed after the trigger
"In one sentence, what is the key difference between activity diagrams and state machines emphasized in the lecture?",activity diagrams show sequences of actions while state machines show sequences of states
