question,prediction(model's answer),ground_truth(correct answer),Expert_Annotation1,Expert_Annotation 2,Final_Decision
What topic does the lecturer say they will focus on today regarding behavioral models?,UML state machines and modeling behavior.,UML state machines,1,1,1
"According to the lecture, what three elements can a state-machine transition have?","Communication, concurrency, and aspects.",trigger guard effect,0,0,0
"In the heaterÐroom example, which two room temperature thresholds are mentioned as guards?",No specific temperature thresholds are mentioned.,18 and 22 degrees,0,0,0
What does the lecturer call a transition with no trigger that fires when a stateÕs behavior completes?,ERROR,completion transition,0,0,0
"When discussing compound states, which event is said to take priority over inner sub-state events?",The event associated with the compound state itself.,"the outer compound_state event (e.g., disconnect)",0,1,0
"On the garage door state machine, which event label leads from Opening back to Open?",The event label is not mentioned.,reachTop,0,0,0
"In the garage door diagram, what event can take Closing to Opening?",The video descriptions do not mention a garage door diagram or specific events.,buttonOrObstacle,0,0,0
"In the garage door diagram, which state lies directly below Opening?",The textual descriptions provided do not mention a garage door diagram or states like Opening.,HalfOpen,0,0,0
"In the ÒIn State MachinesÓ mini-diagram, what is the canonical transition label format shown over the arrow?",event[guard]/action,Trigger [Guard] / Effect,0,1,0
"In the ÒSUBJECTSÓ slide sketch, which two agent boxes are drawn on the right side?",Not mentioned in the textual descriptions.,Agent1 and Agent2,0,0,0
"On the ÒSTATESÓ slide fragment, which example state is shown receiving two incoming ÒbuttonOrObstacleÓ arrows?","The textual frame descriptions provided do not mention a ""STATES"" slide or any example state receiving two incoming ""buttonOrObstacle"" arrows.",HalfOpen,0,0,0
"On the ÒCOMPLETION TRANSITIONSÓ diagram, which state has a self-transition labeled after 2 seconds?",Not mentioned,Idle,0,0,0
"In the same diagram, which event takes the system from Tracking to Engaging?",The event is not explicitly mentioned.,contact,0,0,0
"On the ÒCOMPOUND STATESÓ example, what event moves from Disconnected to Connected?",The event is not explicitly described.,connect,0,0,0
"Inside the Connected compound state, which event moves Waiting to ProcessingByte?",Not mentioned in the provided frames.,receiveByte,0,0,0
"In the ÒCOMPOUND STATES EXAMPLEÓ with Checking PIN, which guard leaves the compound to Searching Network?",The guard for incorrect PIN leaves the compound to Searching Network.,[pin OK],0,0,0
"In that PIN example, which guard loops back from the decision to Entering PIN?",The textual descriptions provided do not mention a PIN example or any guard looping back to Entering PIN.,[pin invalid],0,0,0
"In the ÒHISTORY STATESÓ washing machine, what is the order of the three substates inside Running?",The video does not provide information about the HISTORY STATES washing machine or the order of substates inside Running.,Washing Rinsing Spinning,0,0,0
"In the same washing machine diagram, which symbol resumes the last active sub-state after power is restored?",No relevant information provided.,the history state H,0,0,0
"In the alternative exit example, what is the name of the border exit that leads to Writing Error Report?",Not mentioned,Failed to Read,0,0,0
What name appears as the speaker on the early black screen label?,No name is visible.,Shiva Nejati,0,0,0
What section title is shown at 15Ð213s introducing the topic?,behavior models,UML State Machines,0,0,0
What two action labels appear in the activity-diagram example nodes?,No action labels are mentioned.,Send Payment and Accept Payment,0,0,0
"On the early star map, name one of the two bright stars labeled in Gemini.",Bright,Castor or Pollux,0,0,0
Which university logo is visible on many slides?,No university logo is mentioned or visible in the provided textual descriptions.,uOttawa,0,0,0
What course code appears on the slides?,No course code is visible in the provided frame descriptions.,SEG2106,0,0,0
"In the state-actions example state, what are the On Entry and On Exit actions listed for Receiving?",The descriptions do not provide specific On Entry or On Exit actions for Receiving.,On Entry pickup; On Exit disconnect,0,0,0
What slide title is shown at 298Ð300s contrasting two diagram types?,No slide title is mentioned in the provided descriptions.,ACTIVITY DIAGRAMS VS STATE MACHINES,0,0,0
"Between 540Ð541s, which three terms appear in the example transition label format?","event, guard, action",Trigger Guard Effect,0,0,0
"At 1238Ð1239s, what timer text and effect are shown on the self-transition into Waiting?",The provided textual frame descriptions do not include specific details about timer text or effects for the self-transition into Waiting at 1238–1239s.,after 2 seconds / poll input,0,0,0
"Around 1411Ð1414s, which four states form the main flow on the completion-transition example?",The four states are not explicitly described in the provided frames.,Idle Searching Tracking Engaging,0,0,0
"At 1612Ð1615s, what is the definition of a guard condition given on the slide?",The definition of a guard condition is not provided in the textual frame descriptions.,a Boolean expression in square brackets placed after the trigger,0,0,0
"In one sentence, what is the key difference between activity diagrams and state machines emphasized in the lecture?","Activity diagrams focus on modeling workflows and concurrency, while state machines emphasize modeling state transitions and behavior.",activity diagrams show sequences of actions while state machines show sequences of states,1,1,1
How are synchronous vs asynchronous communication modeled on transitions according to the lecture?,The lecture does not explicitly address synchronous vs asynchronous communication modeling on transitions.,synchronous as operation calls; asynchronous as sending signals or messages,0,0,0
"What is the purpose of a history state in a compound state, as explained with the washing machine?",The history state in a compound state allows the system to remember the last active substate when re-entering the compound state.,to resume the last active sub-state on reentry instead of restarting from the initial sub-state,1,1,1
What UML pseudostate is used to remember and resume the last active substate inside a composite state?,History pseudostate,The history pseudostate ÒHÓ.,1,1,1
"In the washing-machine example, which two events move the system from ÒRunningÓ to ÒPowered OffÓ and back into ÒRunningÓ?",The washing-machine example is not mentioned in the provided frames.,Òpower cutÓ to leave Running; Òrestore powerÓ to re-enter via history.,0,0,0
"In a compound state, what does a dashed horizontal line indicate?",A dashed horizontal line indicates the separation of regions within a compound state.,Concurrent (orthogonal) regions inside the composite state.,1,1,1
"In the ÒApplying BrakesÓ example, what are the names of the two concurrent regions?","The video descriptions do not mention the ""Applying Brakes"" example or the names of concurrent regions.",ÒApplying Front BrakesÓ and ÒApplying Rear BrakesÓ.,0,0,0
"In the lectureÕs terminology, what is the key difference between an OR state and an AND state?","The key difference is that an OR state represents mutually exclusive states, while an AND state represents concurrent substates.",OR = only one substate active (sequential); AND = multiple regions active concurrently (cross product of states).,1,1,1
"When two regions each have states {A,B} and {C,D}, what four combined global states are possible under concurrency?","{A,C}, {A,D}, {B,C}, {B,D}","(A&C), (A&D), (B&C), (B&D).",1,1,1
"In the Maintenance example, which event from Idle forks into the two regions?",Idle forks into two regions.,maintain.,0,0,0
Which event from Idle goes directly to the final (termination) state?,No specific event is described.,shutDown.,0,0,0
"In the upper ÒTestingÓ region, which two states and completion events are shown?","The provided textual descriptions do not mention an upper ""Testing"" region, states, or completion events.",ÒTesting devicesÓ _(testingCompleted)_ ÒSelf diagnosingÓ _(diagnosisCompleted)_ join.,0,0,0
"In the lower ÒCommandingÓ region, which guard causes a loop back to Waiting after Processing Command?","The provided frame descriptions do not contain information about a ""Commanding"" region, guards, or transitions between ""Waiting"" and ""Processing Command.""",commandProcessed [continue].,0,0,0
"In that lower region, which guarded transition exits to the join bar?",Not mentioned.,commandProcessed [not continue].,0,0,0
"In the CD player ÒOnÓ composite, what are the two display states in the top region?","The video descriptions do not mention the CD player ""On"" composite or its display states.",Displaying Current Time; Displaying Alarm Time.,0,0,0
What timer duration appears on the transition back to ÒDisplaying Current TimeÓ?,No timer duration is mentioned.,3 seconds (ÒTimer (3 s)Ó).,0,0,0
"In the bottom (audio) region of ÒOn,Ó what are the two playback states?",Play and Pause.,Playing Radio; Playing CD.,0,0,0
"In the CD player example, the history pseudostate applies to which region?",The video descriptions do not mention a CD player example or history pseudostate.,The lower audio region only.,0,0,0
"In that example, what events toggle between Off and On at the outer level?",No specific events are mentioned.,"On (off _ On), and Off (On _ off).",0,0,0
"When re-entering ÒOnÓ from Off via history, what is the default target in the audio region?","The video does not provide information about re-entering ""On"" from Off via history or the default target in the audio region.",Playing Radio.,0,0,0
"In the refined motor model, what guard functions appear to indicate functioning vs. not functioning?",The video descriptions do not mention guard functions related to functioning vs. not functioning in the refined motor model.,[isFunctioning()] and [!isFunctioning()].,0,0,0
Name the five substates inside the motorÕs ÒRunningÓ composite.,ERROR,"Open, Closing, Closed, Opening, HalfOpen.",0,0,0
Which event and guard move the motor from Open to Closing?,The event and guard moving the motor from Open to Closing are not explicitly described in the provided frames.,buttonPressed() [isFunctioning()].,0,0,0
Which event moves the motor from Closing to Closed?,Not mentioned in the provided frames.,doorClosed().,0,0,0
Which alternative triggers (with guard) move the motor from Closing to Opening?,No visible evidence.,buttonPressed() [isFunctioning()] or obstacleDetected() [isFunctioning()].,0,0,0
Which event moves the motor from Opening back to Open?,The event is not explicitly described in the provided frames.,doorOpen().,0,0,0
Which state toggles with buttonPressed() between itself and Opening?,Closing,HalfOpen.,0,0,0
What external state represents the malfunction/repair mode?,The external state representing the malfunction/repair mode is encoded in UML state machines.,WaitingForRepair.,0,0,0
"What are the three transitions involving ÒWaitingForRepairÓ (enter, self-loop, return)?","The video descriptions do not mention ""WaitingForRepair"" or related transitions.",Enter: buttonPressed() [!isFunctioning()]; self-loop: timer() [!isFunctioning()]; return: timer() [isFunctioning()].,0,0,0
What is the sensor unitÕs polling period?,Not mentioned,20 ms.,0,0,0
Which three conditions does the sensor unit check every cycle?,The video does not mention sensor unit conditions.,"Obstacle detected, door open, door closed.",0,0,0
"In the Garage Door use case diagram, which two use cases include ÒRun DiagnosisÓ?","The video does not provide information about the Garage Door use case diagram or the use cases including ""Run Diagnosis"".",Open Door and Close Door.,0,0,0
"In the ÒRun DiagnosisÓ use case, what is the pre-condition?",The pre-condition is not explicitly mentioned.,User has pressed the remote or wall-mounted control button.,0,0,0
"In that use case, what happens if a check fails?",The video does not provide information about checks or their outcomes.,Wait 3 minutes and retry the checks.,0,0,0
"In the ÒOpen DoorÓ use case, what happens if the door is currently opening?","The video does not provide information about the ""Open Door"" use case or what happens if the door is currently opening.","Stop the door, leaving it half open.",0,0,0
"In the ÒClose DoorÓ use case, what happens if the door is currently opening?","The video does not provide information about the ""Close Door"" use case or what happens if the door is currently opening.","Stop the door, leaving it half open.",0,0,0
What modeling/tooling platform developed at uOttawa is introduced for model-oriented programming?,UMPAL,Umple (UMPLE).,1,0,1
Which MathWorks tool (and feature) is mentioned as equivalent in spirit to UML state machines?,UMPAL,MATLAB Simulink with Stateflow.,0,0,0
