question,prediction(model's answer),ground_truth(correct answer),Expert_Annotation1,Expert_Annotation 2,Final_Decision
What does the lecturer say right at the start about recording and sharing?,The lecturer says they will start the recording and share their screen.,The lecturer says ÒStart the recording and start sharing my screen.Ó,1,1,1
When do labs begin according to the announcements?,Labs begin next week.,Labs start next week; there are no labs this week.,1,1,1
What change was mentioned about a lab location?,You can change your lab.,One lab (A1) changed rooms within the same SITE building.,0,0,0
What must a teammate explicitly state if only one member attends the lab?,"There wasn't change in the situation for one of the labs, lab A1.",That the work was done collaboratively by both members.,0,0,0
Which previous lecture topic did the instructor reference before starting domain analysis?,No previous lecture topic was referenced.,"Process modeling (e.g., waterfall, iterative, agile) posted on Brightspace.",0,0,0
What sequence of process models does the lecturer list from traditional to modern?,The sequence of process models is not explicitly listed in the provided frames.,Waterfall _ iterative approaches _ agile practices.,0,0,0
"Over the next several lectures, which behavioral modeling notations does the instructor say will be covered?",Activity diagrams.,"Activity diagrams, state machines, Petri Nets, SDL.",0,0,0
What is the main goal of domain analysis as described by the lecturer?,To identify and understand the requirements and context of a domain to inform software design.,"To learn background/context, concepts, and terminology to communicate with stakeholders before deciding feasibility.",0,0,0
What three high-level requirement types does the lecturer list?,"Domain analysis, requirements, and activity diagrams.","Customer requirements, functional requirements, non-functional requirements.",0,0,0
"In agile contexts, how are requirements commonly captured per the lecturer?",Requirements are captured through domain analysis and activity diagrams.,As user stories.,0,0,0
"In the ECS cluster figure, which external source pushes images to ECR?",The textual descriptions provided do not mention an ECS cluster figure or external sources pushing images to ECR.,GitHub pushes to ECR.,0,0,0
"In the ECS cluster diagram, which AWS service triggers the worker service?",The video descriptions do not mention an ECS cluster diagram or AWS services.,AWS Lambda triggers the worker service.,0,0,0
"In the ECS cluster box, what label appears above the ovals that represent use cases inside a system boundary?",Not mentioned,System boundary.,0,0,0
"On the slide that begins ÒDOMAIN ANALYSIS,Ó what does ÒdomainÓ refer to?",The visible evidence does not provide a clear definition of 'domain.',The general field in which the customer expects to use the software.,0,0,0
"On the ÒDOMAIN ANALYSISÓ slide, name one listed artifact to include in the document besides the glossary.",The textual frame descriptions provided do not include specific details about the 'DOMAIN ANALYSIS' slide or its listed artifacts.,"Environment, domain model, tasks/procedures, competing software (any one).",0,0,0
"On the ÒDOMAIN MODELÓ slide, what does domain modeling generally decompose?",Domain modeling generally decomposes requirements and domain analysis.,The domain into individual entities and their responsibilities/relationships.,0,0,0
"In the four-class UML example, what is the generalization relationship shown between two left-side classes?",The video descriptions do not mention a four-class UML example or any generalization relationships.,University is a subclass (generalization) of EducationalInstitution.,0,0,0
"In the same UML example, what multiplicity sits at the Student end of the EducationalInstitutionÐStudent association?",Not mentioned,1..* at the Student end.,0,0,0
"In the banking card UML, which two subclasses specialize FinancialCard?",The video descriptions do not provide information about the banking card UML or its subclasses.,DebitCard and CreditCard.,0,0,0
"In that same diagram, what multiplicity is shown at the BankAccount end of the FinancialCardÐBankAccount association?",Not mentioned,1..2 at the BankAccount end.,0,0,0
"In the hospital Òclass OrganizationÓ diagram, which two top-level specializations derive from Person?",The video does not provide information about a hospital class diagram or specializations of Person.,Patient and Staff.,0,0,0
"In that hospital model, which relation (aggregation/composition) connects Hospital to Department?",Not mentioned,Aggregation/composition (a diamond) from Hospital to Department.,0,0,0
"In the ER model, what geometric shape represents relationships such as ÒHasÓ and ÒPerforms TransactionÓ?",The ER model uses diamonds to represent relationships.,Diamonds.,1,1,1
"In the ER model, which relationship connects User and ATM?",The video does not provide information about the ER model or the relationship between User and ATM.,ÒPerforms Transaction.Ó,0,0,0
"In the ER model, what attribute is attached to the AccountÐUser ÒHasÓ relationship?","The video descriptions do not mention the ER model or the Account-User ""Has"" relationship.",Date.,0,0,0
"In the use case anatomy graphic, what is the name of the rectangular container that encloses use cases?",The video descriptions do not provide information about a use case anatomy graphic or a rectangular container.,System boundary (a labeled rectangle).,0,0,0
"In that use case example, what role label is given to the stick figure on the right?",Not mentioned,Salesperson.,0,0,0
