question,prediction,ground_truth,Expert_Annotation1,Expert_Annotation2,Final_Decision
Which other modeling notation besides activity diagrams does the lecturer say is used to specify system behavior,Class diagrams.,State machines,0,0,0
What are the two broad categories of UML diagrams mentioned in the lecture,Structural Models and Behavioral Models.,Structural and behavioral,1,1,1
In structural models what do we mainly capture according to the lecture,"In structural models, we mainly capture the static architecture of a system, including the ""things"" that make up a system such as classes, objects, interfaces, and physical components. Additionally, structural models are used to represent the relationships and dependencies between these elements.",Static entities and their relationships,1,1,1
What key aspects do behavioral models focus on according to the lecture,"Behavioral models focus on the following key aspects according to the lecture:

1. **Temporal Relationships**: Behavioral models emphasize the notion of time and temporal relationships between events and actions, capturing how behavior unfolds over time.
2. **Event Modeling**: Events act as triggers for actions or reactions within the system, and behavioral models detail how these events are modeled and handled.
3. **Communication and Concurrency**: Behavioral models address how communication occurs between components and how concurrency is managed within the system.
4. **Action and Reaction**: Behavioral models capture the steps or actions triggered by events and the corresponding reactions of the system.
5. **Order of Events**: Behavioral models aim to capture the sequence and order of events through abstraction and modeling.",Behavior and concurrency over time,1,1,1
Which kind of communication is described as reliable but makes the sender wait synchronous or asynchronous,Synchronous,Synchronous communication,1,1,1
Which kind of communication continues without waiting synchronous or asynchronous,asynchronous,Asynchronous communication,1,1,1
What object is produced and then used when sending an invoice in the example flow,"The object produced and then used when sending an invoice in the example flow is **""Invoice""**.",Invoice used by Make Payment,1,1,1
After shipping the order which two activities proceed in parallel in the order process example,"""Pay bill"" and ""Close order"" proceed in parallel after shipping the order in the order process example.",Receive order and Bill customer,0,0,0
What does a join bar require before its single outflow can execute,A join bar requires all inflows to be received before its single outflow can execute.,All inflows must arrive,1,1,1
What does a flow final node terminate according to the slides,A flow final node terminates a single flow.,A single flow,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes composition,"The symbol that denotes composition on the ""REVIEW OF UML RELATIONSHIPS"" slide is a **solid line with a filled (black) diamond marker**.",Filled black diamond,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes aggregation,"The symbol that denotes aggregation on the ""REVIEW OF UML RELATIONSHIPS"" slide is a solid line with an open (hollow) diamond marker at one end.",Hollow diamond,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes generalization or inheritance,A hollow triangular arrowhead denotes generalization or inheritance on the REVIEW OF UML RELATIONSHIPS slide.,Hollow triangle arrowhead,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide which symbol denotes realization of an interface,Dashed line with a hollow triangular arrowhead pointing to the interface.,Dashed line with hollow triangle arrowhead,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide what multiplicity is shown near Engine in the BoatÐEngine example,"""0..1""",0..1,1,1,1
On the REVIEW OF UML RELATIONSHIPS slide what multiplicity is shown between Library and Books,"""1..*""",1..*,1,1,1
On the EVENTS IN UML slide name the two classifications that separate event sources,External events and internal events.,External and internal,1,1,1
On the EVENTS IN UML slide list the two message based kinds of events,**Signals** and **Calls**.,Signals and calls,1,1,1
In the order processing activity diagram what guarded label routes from the first decision to Fill Order,[order accepted],order accepted,1,1,1
In the order processing activity diagram what guarded label skips to the merge on the right,[order rejected],order rejected,1,1,1
In the order processing activity diagram name one action on the upper branch after the fork,"""Send Invoice""",Send Invoice,1,1,1
In the order processing activity diagram name the data object passed from Send Invoice to Accept Payment,Invoice,Invoice,1,1,1
In the Online Shopping mini example what shape represents the initial node,The initial node in the Online Shopping mini example is represented by a solid black circle.,Filled black circle,1,1,1
In the Online Shopping mini example what shape represents the final node,"The final node in the Online Shopping mini example is represented as a bullseye, which is a black filled circle with an outer ring.",Bullseye with outer ring,1,1,1
In the Authenticate User example where are activity parameters displayed relative to the activity frame,Activity parameters are displayed on the border of the activity frame and listed below the activity name inside the activity frame.,On the border and listed below the name,1,1,1
In the Authenticate User example give one parameter name shown on the border,Login Id,Login Id,1,1,1
In the decision and merge example what notation shape do both nodes share,Diamond shape.,Diamond,1,1,1
In the fork and join example what two labels are hand written under the bars,"The two handwritten labels under the bars in the fork and join example are ""fork"" (under the left bar) and ""join"" (under the right bar).",fork and join,1,1,1
